Life years saved,Overall survival probability,Survival probability by group_16-39,Survival probability by group_40-49,Survival probability by group_50-59,Survival probability by group_60-69,Survival probability by group_70-79,Survival probability by group_80+,Coefficient of variation of survival probabilities by group,CCU probability by group_16-39,CCU probability by group_40-49,CCU probability by group_50-59,CCU probability by group_60-69,CCU probability by group_70-79,CCU probability by group_80+,Coefficient of variation of CCU probabilities by group
0.454284003,0.424369778,0.690703738,0.672484004,0.447651388,0.533942561,0.67301038,1,0.350514433,0.692872889,0.680722893,0.456288343,0.519270477,0.682074808,1,0.242646051
0.437627014,0.392857139,0.687228497,0.677137874,0.422184493,0.498041779,0.760380627,0.837209298,0.376806771,0.684055841,0.681186285,0.431365029,0.497247075,0.763232181,0.825757575,0.09906416
0.841445602,0.927521014,0.859252826,0.848749275,0.744199205,0.781984338,0.044982698,0.088372093,0.929004793,0.857457752,0.846153848,0.743481594,0.775636617,0.028934368,0.062499999,0.944647733
0.599724198,0.554621889,1,0.65735893,0.422184493,0.499347263,0.647058823,0.637209302,0.626508054,1,0.663577386,0.421012269,0.486579493,0.653493297,0.653409092,0.270203133
0.375244956,0.327731111,0.554300609,0.558464224,0.52914545,0.606396868,0.731833911,0.711627904,0.315067517,0.554004408,0.563484709,0.535659509,0.598072955,0.735003527,0.71969697,0.174322024
0.898075737,0.974789945,1,0.83827807,0.718166385,0.781984338,0,0.083720934,1,1,0.83781279,0.716257668,0.762216108,0,0.062499999,1
0.031853317,0,0.447437013,0.428155906,0,0.998041774,0.9982699,1,0.026113977,0.445260839,0.425857276,0,0.997591194,0.995765701,0.998106059,0.658794294
0,0.004201722,0,0.559627691,0.256366728,1,0.9982699,0.24186047,0.21516129,0,0.564411493,0.250383439,1,0.99823571,0.229166667,0.953529843
0.334042495,0.285714278,0.649000869,0.610238509,0.350311266,0.414490857,1,1,0.23649688,0.651726672,0.60750695,0.340490797,0.405024088,1,1,0.388342779
0.474960081,0.457983222,0.71155517,0.680628271,0.456706281,0.526762399,0.663494814,1,0.366710364,0.70462895,0.681649677,0.446702457,0.511355817,0.677487652,1,0.242832955
0.146143308,0.090336139,0.112076456,0.076207098,1,0.72845953,0.802768167,0.762790696,0.035848943,0.112417339,0.075069511,1,0.713695803,0.804516584,0.801136363,0.898341143
1,1,0.996524763,0.994764397,0.988681382,0,0.362456752,0.362790698,0.931880566,0.995591476,0.993512511,0.986579753,0,0.353916725,0.365530301,0.741458699
0.46014026,0.431722681,0.704604693,0.670738804,0.445387663,0.535248045,0.669550172,1,0.357672552,0.701689933,0.677479149,0.448619632,0.52787337,0.68136909,1,0.241738707
0.505497895,0.489495806,0.732406602,0.682955206,0.481041318,0.537206272,0.675605539,0.669767444,0.470875258,0.725936811,0.683966635,0.46970859,0.522711631,0.686309103,0.683712121,0
0.558204202,0.552521028,0.75152042,0.703315883,0.515563106,0.573759796,0.701557096,0,0.714260924,0.744305656,0.705746063,0.505368096,0.561596696,0.7099506,0,0.700279477
0.699117252,0.698529431,1,1,0.299943409,0.384464753,0.572664359,0.75813953,0.717201373,1,1,0.291794481,0.376118379,0.58398024,0.738636363,0.39427043
0.506341632,0.492647097,0.730668984,0.703897617,0.463497457,0.537206272,0.67387543,0.679069769,0.473641878,0.725202058,0.706672847,0.45935583,0.522711631,0.683486241,0.676136364,0.010606954
0.476824467,0.448529458,0.709817552,0.683536939,0.452744764,0.540469972,0.684256055,0.767441855,0.426944419,0.706098457,0.685820203,0.455521474,0.53785272,0.688426254,0.799242425,0.048472786
0.661003956,0.730042014,0.552562991,0.545084351,0.970005662,0.986292427,0.022491349,0.09302326,0.744869127,0.554739161,0.550046339,0.970475462,0.980041294,0.021171489,0.071969695,0.969544488
0.52791588,0.563025222,0.434404867,0.418848168,0.970005662,0.986292427,0.166955018,0.218604653,0.583946465,0.436443792,0.425393884,0.970475462,0.980041294,0.167607624,0.18371212,0.850265545
0.137932755,0.103991625,0.212858384,0.187899944,0.749858523,0.776109659,0.853806231,0.832558139,0,0.210139603,0.187673771,0.748466255,0.769442537,0.843330982,0.835227274,0.736830725
0.108193315,0.045168069,0.16159861,0.118091916,0.804753822,0.81462141,0.882352938,0.525581392,0.08322343,0.163115356,0.112604263,0.806365031,0.8193393,0.876146788,0.554924241,0.826119022
0.83372496,0.881302514,1,0.796393252,0.658177702,0.719973894,0.136678203,0.204651162,0.913873365,1,0.79471733,0.654907973,0.701651757,0.140790403,0.187499998,0.806803723
0.391357599,0.271008417,1,0,0.630447089,0.709530031,0.775086509,0.739534879,0.495783165,1,0,0.62615031,0.687887131,0.778052224,0.761363635,0.723975188
0.274527326,0.326680681,0.114682883,0.751018033,0.575551782,0.648172329,0.748269894,0.753488371,0.230133916,0.106539309,0.756719185,0.568634971,0.623537511,0.747000705,0.763257576,0.601084847
