CCU probability by group_16-39,CCU probability by group_40-49,CCU probability by group_50-59,CCU probability by group_60-69,CCU probability by group_70-79,CCU probability by group_80+,#NAME?,Life years saved,Overall survival probability,Survival probability by group_16-39,Survival probability by group_40-49,Survival probability by group_50-59,Survival probability by group_60-69,Survival probability by group_70-79,Survival probability by group_80+,#NAME?.1
1,1,0.794495885,0.007246377,1,1,0.146644617,0.76777556,0.686746987,1,1,0.800624268,0.00419385,1,1,0.248241732
1,1,0.391718107,0.405555556,1,1,0.332984208,0.517210024,0.546987952,1,1,0.407335154,0.419850886,1,1,0.397402993
0.983014862,0.988931665,0.988683128,0,0.731118881,1,0.137630162,0.927145709,0.849397591,0.983091787,0.98902439,0.989075303,0,0.728373702,1,0.127102254
1,1,0.982510288,0.259661836,0.333566433,1,0.169220782,1,0.992771083,1,1,0.984003122,0.265144455,0.328719723,1,0.029044148
1,1,0.543467078,0.540096618,0.569230769,1,0.448902458,0.682146818,0.727710843,1,1,0.555989076,0.551258155,0.556228374,1,0.251325398
1,0.868142445,0.862139918,0.018599035,1,1,0.172769575,0.75,0.66506024,1,0.87195122,0.860710105,0.021901212,1,1,0.323502418
1,1,0.726337448,0.73236715,0.005244755,1,0.056230182,0.884885785,0.967469879,1,1,0.730784237,0.734855546,0,1,0
1,1,0.538323045,0.540338164,0.575524475,1,0.44998878,0.671612331,0.720481928,1,1,0.542723371,0.555917987,0.571799308,1,0.259624758
0.842887474,1,1,0.258937198,0.344405594,1,0.186141001,0.97962963,0.99879518,0.828502415,1,1,0.277726002,0.335640138,1,0.087255579
1,1,0.086934156,0.822463768,0.834265735,1,0.236879491,0.318130406,0.367469879,1,1,0.090518923,0.811276794,0.846885813,1,0.371512022
1,0.636188642,0.619855967,0.616666666,0.645454545,1,0.564829124,0.551835218,0.568674698,1,0.639634146,0.632461959,0.628145387,0.64100346,1,0.502981196
1,1,0,0.791545894,1,1,0.139679396,0.227456198,0.245783133,1,1,0,0.789841566,1,1,0.402725294
1,1,0.534722223,0.542512077,0.577622377,1,0.450399365,0.663972057,0.709638554,1,1,0.536870855,0.547064306,0.593425606,1,0.267220136
0.955414014,0.988931665,0.986368313,0.261352657,0.346853146,1,0.185841361,0.985944778,0.986746987,0.95410628,0.989634146,0.986734295,0.262814539,0.353806228,1,0.060944045
1,0.806544754,0.787551441,0.787198067,0,1,0.081618363,0.835994678,0.921686747,1,0.806097561,0.788919236,0.791705499,0.007785467,1,0.113084802
1,0.573147257,0.513888889,0.523913043,1,1,0.435242581,0.388755822,0.362650603,1,0.57195122,0.524775654,0.535414725,1,1,0.668860128
0.972399152,0.992300289,0.99228395,0.269806763,0.318531468,1,0.167506372,0.999406742,0.997590361,0.971014493,0.993292683,0.991806476,0.276794035,0.313148789,1,0.036658315
0.397027602,0.782001925,0.742026749,0.260386474,1,1,0.413277169,0.522593702,0.522891566,0.398550726,0.789634146,0.747561452,0.280987885,1,1,0.699672737
0.180467093,0.680943214,0.651234568,0.657246377,0.667832167,1,0.689951136,0.420204036,0.472289156,0.198067632,0.675609756,0.658993367,0.678005592,0.656574394,1,0.809301003
0.193205947,0.688642925,0.656121399,0.660628019,0.684265734,0,1,0.436621201,0.490361445,0.195652175,0.689634147,0.666016387,0.67194781,0.685986159,0,0.702306013
0.974522292,0.993262753,0.988940329,0.262801933,0.326223776,1,0.169012432,0.99776558,1,0.973429951,0.993292683,0.988294967,0.278657969,0.3183391,1,0.039932834
1,0.653994225,0.601594651,0.628260869,0.643356643,1,0.567753513,0.535900422,0.54939759,1,0.643292683,0.609832228,0.641192917,0.647923875,1,0.508279587
0.970276008,0.989412897,0.990740741,0.262801933,0.328321678,1,0.171468568,0.996662231,0.996385542,0.968599034,0.987804878,0.991416309,0.282385834,0.311418685,1,0.041523242
0.605095541,0.326756497,0.236368312,1,0.995104895,0.972789115,0.191541702,0,0,0.611111111,0.329268293,0.240733515,1,0.992214533,0.95652174,1
0.199575371,0.68479307,0.658693416,0.661352657,0.687062937,0.040816328,0.994974748,0.436610113,0.487951807,0.202898551,0.693292683,0.660944206,0.676607643,0.679065744,0,0.695549738
1,1,0.005144032,0.879227053,0.888461539,0.673469386,0.175385876,0.262297627,0.327710843,1,1,0.010144362,0.873718546,0.893598616,0.673913043,0.346582257
1,0,1,0.401449275,0.946853147,0.843537416,0,0.433288977,0.257831326,1,0,1,0.40167754,0.941176471,0.739130433,0.596044329
0,1,0.012602881,0.950966183,0.946153847,1,0.143992416,0.050698603,0.139759035,0,1,0.02106906,0.949207829,0.939446367,1,0.750020844
0.549893844,0.904234842,0.900720165,0.020772947,1,1,0.188875211,0.699512087,0.621686747,0.562801931,0.897560975,0.904018728,0.018173347,1,1,0.447104134
0.380042465,0.766602502,1,0.024879227,0.98951049,1,0.180285057,0.659248171,0.554216867,0.371980676,0.764634146,1,0.021435229,0.989619377,1,0.563344369
